Arabic,French
طُغْيَٰن,Tyrannie
طَيِّبَة,Bien
عَام,général
عِبَادَت,Elle adorait
عُنُق,cou
عِوَج,Courbé
غُرُور,Vanité
غِلّ,tricher
فَاعِل,actif
قَرَار,résolution
قَوِىّ,fort
لَغْو,gazouillement
لَوْن,couleur
مُبَشِّر,missionnaire
مَبْعُوثُون,Envoyés
مَتَىٰ,quand
مُحِيط,circonférence
مَعْلُوم,connu
مَوْعِظَة,sermon
مَـَٔاب,Mab
نَبَات,plantes
وَٰحِدَة,solitude
وَٰسِع,Développer
يَهُودِيّ,juif
أَشُدّ,le pire
بِرّ,Bavure
بُرْهَٰن,Prouver
ثِيَاب,vêtements
جَانِب,côté
جَدِيد,nouveau
جَنب,Côté
خَزَآئِن,Coffres-forts
خَشْيَة,peur
خَطِيٓـَٔة,Un péché
خِلَٰل,défaut
ذَهَب,or
رَاكِع,à genoux
سَرِيع,rapide
سَمِيع,Audience
شِمَال,nord
شَيْطَٰن,Satan
صَاعِقَة,foudre
صُحُف,Journaux
صَدَقَٰت,Tu as raison
صَوْت,voix
طَٰغُوت,Tyran
طَيِّب,bien
طَيِّب,bien
ظَٰهِر,dos
عُدْوَٰن,Agression
عَشِىّ,dîner
عَقِب,Talon
عَلِيّ,sur
غَلِيظ,épais
فَرْج,relief
فَصْل,saison
قَانِت,obéissant
قَدَم,pied
قَرِين,Qarin
كَبِير,grand
لَٰكِن,mais
لَعِب,jeu
مُتَّكِـِٔين,Administrateurs
مِثْقَال,Mithqal
مُجْرِم,criminel
مُحْصَنَٰت,Femmes fortifiées
مُخْلَص,sincère
مُدْبِر,Un cerveau
مُشْفِقُون,Ils sont compatissants
مُقِيم,résident
مَنَٰفِع,Avantageux
مَوَدَّة,amour
مِيقَٰت,Un temps
نُزُل,auberge
هُنَالِك,là
وَصِيَّة,commandement
يَمّ,Miam
ـَٰٔن,ـَٰٔن
أَبْقَىٰٓ,je reste
أَبَوَان,Deux parents
ٱثْنَتَيْن,Deux
أَثِيم,Coupable
ٱخْتِلَٰف,Il n'était pas d'accord
إِخْوَةٌ,Frères
إِصْلَٰح,rectifier
أُكُل,nourriture
أَهْدَىٰ,consacrer
بَشِير,Béchir
بَصِيرَة,vision
بُعْد,après
بُنْيَٰن,Construire
بَيْع,vente
تَبْدِيل,Transposer
تَوْبَة,repentir
ثَلَٰث,troisième
جَآنّ,John
جَمِيل,Beau
جَنَاح,aile
جَهْر,Parlez
حَبّ,amour
حَبْل,grossesse
حِجَاب,voile
حُجَّة,argument
حَسْرَة,chagrin
حُسْنَىٰ,Hosna
حَظّ,destin
حَفِيظ,Hafeez
حَمْل,porter
ذِلَّة,Humiliation
رِبَوٰا,Ils ont augmenté l'usure
رُءْيَا,vision
زُبُر,Coq
زَكَرِيَّا,Zacharie
سَآئِل,liquide
سَابِق,ancien
سِتَّة,six
سَفَر,voyage
سَفِيه,grivois
سَنَة,année
شَجَر,Il a arboré
شِقَاق,schisme
صَفّ,rangée
ضِعْف,faiblesse
ضَعِيف,faible
عَاكِف,Akif
عُمُر,âge
غَٰبِرِين,Gabrine
فَحْشَآء,fornication
فُرْقَان,Deux différences
قَاعِد,Séance
قِبْلَة,baiser
قَدْر,montant
كَٰرِهُون,Les haineux
كَأَيِّن,Cayenne
كَبِيرَة,Grand
كَى,pour
لَيْلَة,Nuit
مُرِيب,Morrib
مَطَر,pluie
مَفْعُول,effet
مُقَرَّبُون,Personnes proches
مِهَٰد,berceau
مُهِين,insultant
مُهِين,insultant
مُؤْمِن,Un croyant
نَاقَة,Un chameau
نَخِيل,palmiers
هَاد,C'est ça
هَدْي,Hoda
هُود,Capot
وَاد,vallée
وَارِث,héritier
وَلِيد,enfant
يُسْر,Il est content
أَبْكَم,muet
أَخْذ,prendre
إِخْرَاج,Sortir
أَرْبَع,quatre
إِسْلَٰم,Islam
أَعْلَىٰ,plus haut
أُمْنِيَّت,Je souhaite
أُنثَيَيْن,Deux femelles
أَندَاد,est égal
بَٰلِغ,Il a tendu la main
بَعْل,mari
بُكْرَة,tôt
بَلَآء,Un fléau
بُهْتَٰن,Calomnier
تَحِيَّة,salutations
ثَقَلَان,Deux poids
جَاعِل,Il a faim
حَدِيد,fer
حَلَٰل,Il a résolu
حُلُم,rêve
حَمِيم,intime
خِلَٰف,Le contraire
خَلَٰق,créer
خُلْد,Immortel
خَمْر,ancien
خِيفَة,Effrayé
دَعْوَة,invitation
ذَرَّة,maïs
رَٰحِمِين,Miséricordieux
رَٰزِقِين,Fourni
رِسَٰلَٰت,Messages
رُشْد,Précipité
سَبْت,Samedi
سِجْن,prison
سُرُر,Heureux
سَعَة,capacité
سَكِينَة,Sakina
سِيمَٰ,Sim
طَرْف,faire la fête
ظُلَّة,baldaquin
عَاد,Il est revenu
عِبْرَة,leçon
عَدَٰوَة,Ennemi
عَرَض,une offre
عُقْبَى,Mon talon
غَٰوِين,Gwen
غَمّ,tristesse
غَيْظ,rage
فَاطِر,créateur
فَجْر,aube
فَرِح,joie
فَرِيضَة,devoir
فِضَّة,argent
قَبْر,tombeau
قَرْض,prêt
قَصَص,histoires
قَمِيص,chemise
قَهَّار,Conquérant
كَأْس,tasse
كِبَر,Grandir
كُبْرَىٰ,Majeur
كَرَّة,balle
كَفُور,Incroyable
كَفُور,Incroyable
كَنز,trésor
كَهْف,grotte
لَعَلّ,peut être
لُؤْلُؤ,لُؤْلُؤ
مُبَارَك,bravo
مُتَكَبِّر,arrogant
مُدَّكِر,Conscient
مَرَدّ,homme
مُسْتَكْبِر,Arrogant
مُعْتَدِين,Agresseurs
مَقْت,Il détestait
مَنّ,depuis
مُنتَظِرُون,En attendant
مُنظَرُون,Théoriciens
مُنِيب,Mounib
مُهَاجِر,immigrant
مَوْج,Vague
مِيعَاد,Rendez-vous
نَاصِح,Conseiller
نِصْف,moitié
هَٰمَٰن,Hum
وَٰحِد,Un
وَحْد,Un
وَحْى,inspiration
وَعِيد,Une promesse
وَقْر,Respect
يَقِين,certitude
أَبْيَض,blanc
أَحَقّ,Plus à droite
أَحَقّ,Plus à droite
أَرَآئِك,Vos canapés
أَسَاوِر,Bracelets
أَسْبَاط,Asbat
أَصْنَام,Idoles
ٱللَّهُمَّ,Dieu
ٱمْرِئ,Un homme
أَمْن,sécurité
إِن,que
أَوَّاب,Awaab
أَيَّان,Ian
بَرْق,foudre
بِضَٰعَة,quelques
بَعِيد,loin
بَغْضَآء,Avec haine
بَلْدَة,ville
تَحْرِير,libérer
تِسْع,neuf
تَفْصِيل,Détail
تَقْدِير,appréciation
تَقَلُّب,fluctuation
ثُلُث,troisième
ثَمَر,Fructueux
جَٰثِمِين,Ils se sont accroupis
جَبَّار,Puissant
جَبَّار,Puissant
جَرَم,crime
جَهْد,un effort
حَٰكِمِين,Des gens sages
حَبَّة,grain
حَرِيق,un feu
حَفِيظ,Hafeez
حَقّ,le droit
حِلّ,solution
حِمَار,âne
حَوَارِيُّون,Apôtres
حُوت,baleine
خَٰطِـِٔين,Deux erreurs
خَالِصَة,Conclusion
خُرُوج,sortie
خَصِيم,Adversaire
خَطْب,Il s'est fiancé
خُطُوَٰت,Mesures
خَلْف,derrière
خِنزِير,cochon
خَيْل,chevaux
دَيْن,religion
ذَا,Que
رَشَد,Éruption cutanée
رُعْب,horreur
رَقِيب,Sergent
زَيْتُون,olive
سَاجِد,prostré
سَلَم,paix
سَوْءَٰت,C'est devenu pire
شَٰرِبِين,As-tu bu ?
شَاعِر,poète
شِرْك,piège
شَطْر,Diviser
صَٰغِرُون,Ils sont petits
صَٰلِح,réconciliation
صَدَقَة,charité
صِدِّيق,ami
صَيْد,chasse
ضَيْف,un invité
طَٰٓئِر,Un oiseau
طَرَف,faire la fête
طَرِيقَة,route
ظَلَّٰم,injustice
عَدَد,nombre
عَزْم,détermination
عُسْر,Gaucher
عَشْر,dix
عَطَآء,tendre
عَفُوّ,pardon
عَلَقَة,sangsue
غَد,Demain
غُدُوّ,glande
غُرْفَة,chambre
غَفْلَة,négligence
فَوْج,régiment
قَآئِل,Il a dit
قَارِعَة,se venger
قَيِّم,valeur
كَآفَّة,tous
كَاتِب,écrivain
كَرْه,balle
كَلْب,chien
كَوْكَب,planète
لَوْح,Il a fait signe
مُبْطِلُون,Invalidateurs
مُتْرَفِين,Ils sont riches
مُتَشَٰبِه,Similaire
مَحِيص,Mahis
مُخْرَج,sortie
مَرْضَات,Maladies
مِرْيَة,Marie
مُسَمًّى,Nommé
مَسْـُٔول,En charge
مُصْبِحِين,Bonjour
مُصْلِح,réformateur
مُطَهَّرَة,Purifié
مَع,avec
مَعْدُودَة,Numéroté
مَكَانَت,Où elle était
مَلُوم,À blâmer
مُنَٰفِقَٰت,Un dépensier
مُنذَرِين,Averti
مُنزِلِين,Ils descendent
مُنِير,Éclairant
مَهْد,berceau
مُهْلِك,mortel
مُوقِنِين,Nous sommes sûrs
مَيْتَة,Mort
نَٰدِمِين,Nous le regrettons
نَٰظِرِين,Regarder
نُبُوَّة,prophétie
نُشُور,résurrection
نُفُور,aversion
نِكَاح,mariage
وَازِرَة,Un ministre
وَاقِع,réalité
وُسْع,Développer
يَحْيَىٰ,Yahya
يَسِير,Il marche
أَحْبَار,Encres
أَخْسَرِين,Tu perds
أَرْحَم,Aie pitié
أَرْذَل,j'humilie
أَزْكَىٰ,Plus intelligent
إِسْتَبْرَق,Istbraq
أَسْلِحَت,Armé
أَسِير,prisonnier
أَصِيل,authentique
أَطْهَر,Purifier
أَقْوَم,je me lève
أَكْل,nourriture
أَكِنَّة,Akana
أَكْوَاب,Tasses
ٱلَّٰٓـِٔى,ٱلّّٰ
أَمَٰنَٰت,Elle croyait
أَمَد,Amad
أَمْس,hier
أُمِّىّ,mère
ٱنتِقَام,Vengeance
أَيْكَة,taillis
أَيْن,où
أَيُّوب,Emploi
بَأْسَآء,Malheureusement
